"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
636793.770,849874.380,425.820,24.000,1.000,1.000,1.000,0.000,1.000,4.000,128.000,7328.000,246503.448,103.000,112.000,119.000
636767.130,849829.460,521.190,27.000,1.000,2.000,0.000,0.000,1.000,4.000,135.000,7328.000,246503.647,57.000,74.000,70.000
636752.920,849714.240,482.550,2.000,1.000,3.000,0.000,0.000,1.000,5.000,134.000,7328.000,246503.838,58.000,80.000,72.000
636699.440,849829.230,420.800,216.000,1.000,1.000,0.000,0.000,1.000,2.000,135.000,7328.000,246504.030,50.000,65.000,65.000
636661.060,849854.130,424.900,233.000,1.000,1.000,0.000,0.000,1.000,2.000,136.000,7328.000,246504.222,92.000,100.000,110.000
636568.180,850179.490,441.800,165.000,1.000,1.000,0.000,0.000,2.000,-4.000,128.000,7328.000,246504.434,122.000,106.000,127.000
636554.630,850040.030,499.110,7.000,1.000,2.000,0.000,0.000,1.000,-2.000,132.000,7328.000,246504.644,58.000,70.000,74.000
636520.930,850038.940,470.730,3.000,2.000,3.000,0.000,0.000,1.000,-2.000,137.000,7328.000,246504.836,47.000,65.000,64.000
636494.910,850000.660,497.830,0.000,2.000,2.000,1.000,0.000,1.000,-2.000,128.000,7328.000,246505.018,52.000,58.000,66.000
636452.720,850061.450,450.660,0.000,4.000,4.000,0.000,0.000,1.000,-3.000,133.000,7328.000,246505.200,46.000,60.000,60.000
636421.000,850059.420,524.670,228.000,1.000,1.000,0.000,0.000,1.000,-2.000,135.000,7328.000,246505.372,84.000,86.000,101.000
636341.270,850366.240,433.690,156.000,1.000,1.000,0.000,0.000,1.000,-8.000,128.000,7328.000,246505.546,129.000,102.000,135.000
636375.980,849925.690,428.120,239.000,1.000,1.000,0.000,0.000,1.000,1.000,134.000,7328.000,246505.736,79.000,83.000,101.000
636334.710,849953.870,428.220,217.000,1.000,1.000,0.000,0.000,1.000,0.000,135.000,7328.000,246505.927,80.000,82.000,98.000
636291.110,849990.520,464.600,127.000,2.000,2.000,1.000,0.000,1.000,0.000,126.000,7328.000,246506.110,98.000,97.000,104.000
636299.110,849675.560,409.090,1.000,1.000,1.000,0.000,0.000,2.000,7.000,132.000,7328.000,246506.309,110.000,92.000,109.000
636218.210,849995.700,440.620,38.000,1.000,2.000,1.000,0.000,1.000,1.000,126.000,7328.000,246506.493,87.000,93.000,111.000
